000020704,682811506458,,11
000043812,,848555583963,66
000064739,,923541622173,82
000112026,,983718925861,50
000143022,,815169729553,73
000186512,,413317951038,54
000212514,,875788480218,24
000242387,,574476878714,65
000270650,,724745833868,24
000277802,,586456563472,51
000302614,,359740283514,73
000315200,,299853832832,76
000337630,,532784952190,14
000365565,,633079601647,73
000366644,,500311859643,58
000456570,,992090242652,65
000465640,,434701685932,65
000486244,,162299115086,27
000494762,,088627224476,15
000497670,,943136081819,16
000567592,,565478029912,22
000592357,,607184318551,27
000636214,,869166217570,90
000648822,,744820161202,64
000660977,,668643983105,73
000667608,,013355571079,52
000691629,367041946086,,49
000692296,,314809079196,NA
000749471,603361947342,,23
000752393,,197255396327,40
000769871,,344647814685,53
000790769,,595366273289,42
000854724,,445669122586,54
000911284,,897218090891,59
000918887,,968396583186,12
000953314,,857077129954,76
000987472,,923189507164,27
001017179,,847764363465,53
001076486,,362384948623,58
001081662,,497825236759,67
001091472,,803481367901,52
001094843,,827870527979,73
001127921,959604103721,,54
001181382,279165355939,,40
001201802,,214441446094,54
001206314,196753748709,,41
001207010,,034216694682,54
001207070,,752373580650,82
001211119,,019093320601,NA
001238598,,228644891118,25
001241060,,932721026768,68
001310970,,230998736854,52
001344547,,279805612436,76
001362781,,696111484227,54
001375914,,712093549390,32
001444595,,650058100738,59
001449366,480826432364,,53
001472045,,751133750613,15
001503295,,768747057430,64
001517094,,255594542008,48
001550260,,588339236094,76
001552815,,296941105731,47
001584072,,593057067476,54
001616007,,687692083051,65
001635755,,311448419685,56
001674183,,668095283079,57
001696259,,159398533098,43
001711436,,961404241057,31
001725774,,578804348875,76
001788281,,848600700281,23
001805580,,724739660953,67
001817516,,432683624086,51
001837425,,253188165826,65
001857946,,519717331834,40
001878804,540398596327,,56
001927960,,555855195427,64
001934557,,057476893712,15
001940170,954496540237,,38
001993367,,976683861878,56
002027926,,592616718996,15
002037755,,433846608261,57
002052022,,830254979749,65
002068890,,123684865017,67
002118247,,834126250216,75
002133790,,109303099240,52
002166007,,709806816740,51
002225029,,364123159403,73
002273612,,981777590204,57
002286985,,619363090583,82
002316825,987553997723,,13
002343624,,472134133969,11
002390195,,696464234446,58
002392389,,089613875777,52
002485065,,172497929758,15
002491526,,055263027332,46
002492328,,235099365803,16
002519026,,647584994554,44
002541664,,320024324063,52
002559873,,622870149936,59
002569507,698353634380,,20
002586293,,519148129661,46
002595045,,442934946722,28
002684557,,236441664481,45
002780893,,271941062376,64
002790699,,973537645891,59
002824114,,775457916765,56
002832208,,523839931001,57
